WOM,100 m,Valais,2
WOM,Longueur,Valais,4
WOM,800 m,Valais,7
WOM,Poids,Valais,7
WOM,400 m haies,Valais,0
WOM,200 m,Valais,2
WOM,Javelot,Valais,5
WOM,3000 m,Valais,7
WOM,1500 m,Valais,7
WOM,Triple,Valais,1
WOM,400 m,Valais,2
WOM,Relais olympique,Valais,4
MAN,Marteau,Vaud,1
MAN,4x100m,Vaud,5
MAN,Longueur,Vaud,7
MAN,110m haies,Vaud,0
MAN,3000m steeple,Vaud,7
MAN,Poids,Vaud,7
MAN,100 m,Vaud,3
MAN,800 m,Vaud,5
MAN,Perche,Vaud,7
MAN,Disque,Vaud,3
MAN,400 m haies,Vaud,7
MAN,Hauteur,Vaud,7
MAN,200 m,Vaud,2
MAN,Triple,Vaud,4
MAN,3000 m,Vaud,7
MAN,1500 m,Vaud,7
MAN,400 m,Vaud,7
MAN,Javelot,Vaud,7
MAN,Relais olympique,Vaud,5
WOM,Marteau,Vaud,4
WOM,4x100m,Vaud,7
WOM,Perche,Vaud,4
WOM,Hauteur,Vaud,3
WOM,100m haies,Vaud,2
WOM,Disque,Vaud,3
WOM,100 m,Vaud,7
WOM,Longueur,Vaud,3
WOM,800 m,Vaud,5
WOM,Poids,Vaud,5
WOM,400 m haies,Vaud,7
WOM,200 m,Vaud,5
WOM,Javelot,Vaud,7
WOM,3000 m,Vaud,3
WOM,1500 m,Vaud,5
WOM,Triple,Vaud,3
WOM,400 m,Vaud,5
WOM,Relais olympique,Vaud,5
